131101	学問への扉（比較文学入門　越境する物語の世界）	bungaku,bunka,kokusai
131103	学問への扉（言語の多様性を考える）	kotoba
131105	学問への扉（ポルトガル語圏の文化と文学）	bungaku,bunka
131107	学問への扉（イタリアの文化と社会入門）	bunka,shakai,kokusai
131109	学問への扉（統計データの解釈）	tokei
131111	学問への扉（比較・国際教育入門）	kyoiku,kokusai
131113	学問への扉（環日本海諸港の日露関係史）	rekishi,bunka,kokusai
131115	学問への扉（民法の歴史）	rekishi,seiji
131117	学問への扉（医学生物学研究は医療に役立つのか?）	ikimono,iryo
131119	学問への扉（口の健康を支えるマテリアルサイエンス）	kagaku,iryo,monodukuri
131121	学問への扉（それって10の何乗？）	sugaku
131123	学問への扉（生命とは何か?: 宇宙・地球・生物を通して考えよう！）	ikimono,kankyo,uchu
131125	学問への扉（化学フロンティアⅦ（生物活性分子の合成・抽出・はたらき））	kagaku,ikimono
131127	学問への扉（生物ネタについて語り合おう！）	ikimono
131129	学問への扉（阪大の生きものに生物多様性を学ぶ）	rekishi,shakai,ikimono,kankyo
131131	学問への扉（バイオテクノロジーと産業1）	ikimono
131133	学問への扉（月曜午後の応用物理）	butsuri,ai
131135	学問への扉（金属の物性）	butsuri,monodukuri
131137	学問への扉（パワーレーザーで極限の世界へ）	butsuri,uchu,energy
131139	学問への扉（船と波の科学）	sugaku,butsuri,monodukuri
131141	学問への扉（フューチャー・デザイン ー 持続可能な未来社会とイノベーションを考える）	shakai,seiji,kankyo,energy
131143	学問への扉（エレクトロニクスの世界）	butsuri,joho,kikai
131145	学問への扉（量子力学の不思議な世界（～磁石・超伝導・超高圧の世界～））	butsuri
131147	学問への扉（触媒化学への招待）	kagaku,kankyo,energy
131149	学問への扉（情報システムデータ処理）	tokei,joho,ai
131151	学問への扉（ランダマイズドアルゴリズム入門）	sugaku,joho
131153	学問への扉（生物物理学へのいざない）	butsuri,ikimono
131155	学問への扉（脳神経科学入門）	nou
131157	学問への扉（ワクチンを創る）	kokusai,ikimono,iryo
131159	学問への扉（量子ビームがつなぐ科学と社会）	butsuri
